# PA-G-series-02.dat 1500 values t  z(t) 
 0  0.216196   
 0.0667111  0.283616   
 0.133422  0.321847   
 0.200133  0.283784   
 0.266845  0.192127   
 0.333556  0.118694   
 0.400267  0.117485   
 0.466978  0.17458   
 0.533689  0.222085   
 0.6004  0.202923   
 0.667111  0.125336   
 0.733823  0.055659   
 0.800534  0.0561578   
 0.867245  0.126525   
 0.933956  0.204207   
 1.00067  0.223246   
 1.06738  0.176154   
 1.13409  0.12048   
 1.2008  0.12391   
 1.26751  0.199699   
 1.33422  0.29337   
 1.40093  0.333263   
 1.46765  0.297305   
 1.53436  0.233074   
 1.60107  0.212273   
 1.66778  0.262582   
 1.73449  0.341184   
 1.8012  0.37495   
 1.86791  0.329402   
 1.93462  0.2414   
 2.00133  0.184743   
 2.06805  0.201079   
 2.13476  0.261279   
 2.20147  0.293653   
 2.26818  0.252364   
 2.33489  0.161488   
 2.4016  0.0931078   
 2.46831  0.100079   
 2.53502  0.166817   
 2.60173  0.224505   
 2.66845  0.216331   
 2.73516  0.151238   
 2.80187  0.0954666   
 2.86858  0.10988   
 2.93529  0.192184   
 3.002  0.278556   
 3.06871  0.30317   
 3.13542  0.259516   
 3.20213  0.20573   
 3.26885  0.208936   
 3.33556  0.281151   
 3.40227  0.367218   
 3.46898  0.396208   
 3.53569  0.347824   
 3.6024  0.271231   
 3.66911  0.238543   
 3.73582  0.276869   
 3.80254  0.342976   
 3.86925  0.364467   
 3.93596  0.308615   
 4.00267  0.213907   
 4.06938  0.154515   
 4.13609  0.171167   
 4.2028  0.233559   
 4.26951  0.269725   
 4.33622  0.234622   
 4.40294  0.153209   
 4.46965  0.0973689   
 4.53636  0.118409   
 4.60307  0.198787   
 4.66978  0.268576   
 4.73649  0.271153   
 4.8032  0.21617   
 4.86991  0.169871   
 4.93662  0.191928   
 5.00334  0.278381   
 5.07005  0.364555   
 5.13676  0.385232   
 5.20347  0.335371   
 5.27018  0.274168   
 5.33689  0.268643   
 5.4036  0.330002   
 5.47031  0.402801   
 5.53702  0.417152   
 5.60374  0.354737   
 5.67045  0.266367   
 5.73716  0.22452   
 5.80387  0.255583   
 5.87058  0.315678   
 5.93729  0.332831   
 6.004  0.275674   
 6.07071  0.183842   
 6.13742  0.131372   
 6.20414  0.157558   
 6.27085  0.230462   
 6.33756  0.27744   
 6.40427  0.253894   
 6.47098  0.185386   
 6.53769  0.143397   
 6.6044  0.177607   
 6.67111  0.268562   
 6.73783  0.345407   
 6.80454  0.351985   
 6.87125  0.298996   
 6.93796  0.253087   
 7.00467  0.273177   
 7.07138  0.354139   
 7.13809  0.430959   
 7.2048  0.439515   
 7.27151  0.376656   
 7.33823  0.302966   
 7.40494  0.285599   
 7.47165  0.335106   
 7.53836  0.395825   
 7.60507  0.398871   
 7.67178  0.327737   
 7.73849  0.234595   
 7.8052  0.191902   
 7.87191  0.22489   
 7.93863  0.288582   
 8.00534  0.310955   
 8.07205  0.26152   
 8.13876  0.180589   
 8.20547  0.141623   
 8.27218  0.182139   
 8.33889  0.268324   
 8.4056  0.32674   
 8.47231  0.313218   
 8.53903  0.253989   
 8.60574  0.220299   
 8.67245  0.260463   
 8.73916  0.353496   
 8.80587  0.428073   
 8.87258  0.428992   
 8.93929  0.368499   
 9.006  0.314102   
 9.07272  0.324411   
 9.13943  0.393526   
 9.20614  0.456443   
 9.27285  0.450388   
 9.33956  0.374231   
 9.40627  0.289938   
 9.47298  0.264678   
 9.53969  0.308144   
 9.6064  0.364173   
 9.67312  0.364529   
 9.73983  0.294078   
 9.80654  0.205857   
 9.87325  0.171781   
 9.93996  0.215435   
 10.0067  0.290308   
 10.0734  0.323966   
 10.1401  0.286495   
 10.2068  0.218653   
 10.2735  0.193195   
 10.3402  0.245841   
 10.4069  0.341034   
 10.4736  0.404779   
 10.5404  0.393661   
 10.6071  0.334968   
 10.6738  0.300129   
 10.7405  0.336568   
 10.8072  0.422268   
 10.8739  0.485937   
 10.9406  0.473792   
 11.0073  0.399996   
 11.074  0.333196   
 11.1408  0.331871   
 11.2075  0.389448   
 11.2742  0.440938   
 11.3409  0.424807   
 11.4076  0.341712   
 11.4743  0.254658   
 11.541  0.230406   
 11.6077  0.27733   
 11.6744  0.3383   
 11.7412  0.345255   
 11.8079  0.283965   
 11.8746  0.207881   
 11.9413  0.187983   
 12.008  0.245916   
 12.0747  0.333465   
 12.1414  0.377731   
 12.2081  0.349421   
 12.2748  0.289868   
 12.3416  0.271341   
 12.4083  0.328095   
 12.475  0.423241   
 12.5417  0.482722   
 12.6084  0.464381   
 12.6751  0.397043   
 12.7418  0.352771   
 12.8085  0.378504   
 12.8753  0.451558   
 12.942  0.50097   
 13.0087  0.474563   
 13.0754  0.388474   
 13.1421  0.312416   
 13.2088  0.304558   
 13.2755  0.357392   
 13.3422  0.405617   
 13.4089  0.388543   
 13.4757  0.308144   
 13.5424  0.227953   
 13.6091  0.213806   
 13.6758  0.272291   
 13.7425  0.344915   
 13.8092  0.363468   
 13.8759  0.314374   
 13.9426  0.251323   
 14.0093  0.244293   
 14.0761  0.313051   
 14.1428  0.407868   
 14.2095  0.455679   
 14.2762  0.428183   
 14.3429  0.367706   
 14.4096  0.346475   
 14.4763  0.397761   
 14.543  0.483852   
 14.6097  0.531107   
 14.6765  0.49905   
 14.7432  0.418365   
 14.8099  0.361969   
 14.8766  0.376438   
 14.9433  0.438456   
 15.01  0.477328   
 15.0767  0.442311   
 15.1434  0.351221   
 15.2101  0.27444   
 15.2769  0.269372   
 15.3436  0.327102   
 15.4103  0.381539   
 15.477  0.372374   
 15.5437  0.302446   
 15.6104  0.235392   
 15.6771  0.235785   
 15.7438  0.308197   
 15.8105  0.392667   
 15.8773  0.420852   
 15.944  0.379931   
 16.0107  0.324025   
 16.0774  0.322387   
 16.1441  0.393281   
 16.2108  0.485926   
 16.2775  0.5276   
 16.3442  0.491496   
 16.4109  0.421398   
 16.4777  0.38992   
 16.5444  0.429722   
 16.6111  0.502587   
 16.6778  0.535528   
 16.7445  0.48987   
 16.8112  0.398141   
 16.8779  0.333969   
 16.9446  0.34333   
 17.0113  0.401967   
 17.0781  0.439087   
 17.1448  0.404945   
 17.2115  0.318543   
 17.2782  0.250417   
 17.3449  0.256703   
 17.4116  0.326646   
 17.4783  0.393013   
 17.545  0.395599   
 17.6117  0.33791   
 17.6785  0.28358   
 17.7452  0.295917   
 17.8119  0.377609   
 17.8786  0.467483   
 17.9453  0.497413   
 18.012  0.455745   
 18.0787  0.397466   
 18.1454  0.391571   
 18.2121  0.45531   
 18.2789  0.537342   
 18.3456  0.565738   
 18.4123  0.515565   
 18.479  0.43233   
 18.5457  0.389188   
 18.6124  0.41825   
 18.6791  0.480769   
 18.7458  0.504289   
 18.8125  0.451696   
 18.8793  0.357012   
 18.946  0.294135   
 19.0127  0.307964   
 19.0794  0.372821   
 19.1461  0.417341   
 19.2128  0.392325   
 19.2795  0.317536   
 19.3462  0.263283   
 19.4129  0.284153   
 19.4797  0.367384   
 19.5464  0.44457   
 19.6131  0.455687   
 19.6798  0.40507   
 19.7465  0.356594   
 19.8132  0.372633   
 19.8799  0.454412   
 19.9466  0.540038   
 20.0133  0.562118   
 20.0801  0.510656   
 20.1468  0.441954   
 20.2135  0.425139   
 20.2802  0.476779   
 20.3469  0.545245   
 20.4136  0.559578   
 20.4803  0.496761   
 20.547  0.403939   
 20.6137  0.354603   
 20.6805  0.380026   
 20.7472  0.440579   
 20.8139  0.463929   
 20.8806  0.414062   
 20.9473  0.325988   
 21.014  0.273364   
 21.0807  0.299539   
 21.1474  0.377014   
 21.2141  0.433552   
 21.2809  0.420277   
 21.3476  0.357574   
 21.4143  0.315477   
 21.481  0.347094   
 21.5477  0.437858   
 21.6144  0.518506   
 21.6811  0.529589   
 21.7478  0.47671   
 21.8145  0.42444   
 21.8813  0.434697   
 21.948  0.507725   
 22.0147  0.581383   
 22.0814  0.589428   
 22.1481  0.523844   
 22.2148  0.442447   
 22.2815  0.414594   
 22.3482  0.456171   
 22.4149  0.515172   
 22.4817  0.521419   
 22.5484  0.453516   
 22.6151  0.359842   
 22.6818  0.313754   
 22.7485  0.345193   
 22.8152  0.413165   
 22.8819  0.445004   
 22.9486  0.405365   
 23.0153  0.329849   
 23.0821  0.291545   
 23.1488  0.332027   
 23.2155  0.421888   
 23.2822  0.488049   
 23.3489  0.482101   
 23.4156  0.425262   
 23.4823  0.387595   
 23.549  0.421104   
 23.6157  0.509875   
 23.6825  0.584297   
 23.7492  0.586013   
 23.8159  0.522368   
 23.8826  0.459047   
 23.9493  0.457858   
 24.016  0.518358   
 24.0827  0.57837   
 24.1494  0.572908   
 24.2161  0.495909   
 24.2829  0.406552   
 24.3496  0.374153   
 24.4163  0.413582   
 24.483  0.472066   
 24.5497  0.479773   
 24.6164  0.416445   
 24.6831  0.331187   
 24.7498  0.296721   
 24.8165  0.341219   
 24.8833  0.421974   
 24.95  0.465738   
 25.0167  0.437667   
 25.0834  0.373875   
 25.1501  0.3469   
 25.2168  0.396683   
 25.2835  0.492174   
 25.3502  0.559822   
 25.4169  0.552113   
 25.4837  0.491564   
 25.5504  0.448725   
 25.6171  0.474978   
 25.6838  0.553534   
 25.7505  0.614876   
 25.8172  0.602108   
 25.8839  0.524578   
 25.9506  0.44922   
 26.0173  0.437768   
 26.0841  0.489028   
 26.1508  0.540642   
 26.2175  0.528627   
 26.2842  0.448526   
 26.3509  0.360429   
 26.4176  0.333121   
 26.4843  0.379959   
 26.551  0.446927   
 26.6177  0.464104   
 26.6845  0.411964   
 26.7512  0.339983   
 26.8179  0.319977   
 26.8846  0.378195   
 26.9513  0.470197   
 27.018  0.522253   
 27.0847  0.500218   
 27.1514  0.440992   
 27.2181  0.416905   
 27.2849  0.466682   
 27.3516  0.558118   
 27.4183  0.617709   
 27.485  0.599339   
 27.5517  0.527272   
 27.6184  0.472927   
 27.6851  0.487366   
 27.7518  0.553163   
 27.8185  0.601053   
 27.8853  0.575634   
 27.952  0.488161   
 28.0187  0.406596   
 28.0854  0.392276   
 28.1521  0.442882   
 28.2188  0.495451   
 28.2855  0.486551   
 28.3522  0.412829   
 28.4189  0.33479   
 28.4857  0.320211   
 28.5524  0.380539   
 28.6191  0.460225   
 28.6858  0.48906   
 28.7525  0.448148   
 28.8192  0.387316   
 28.8859  0.377562   
 28.9526  0.443416   
 29.0193  0.539034   
 29.0861  0.590615   
 29.1528  0.565175   
 29.2195  0.500868   
 29.2862  0.47029   
 29.3529  0.511419   
 29.4196  0.591343   
 29.4863  0.637014   
 29.553  0.604029   
 29.6197  0.518591   
 29.6865  0.453059   
 29.7532  0.458145   
 29.8199  0.515669   
 29.8866  0.556402   
 29.9533  0.526137   
 30.02  0.437631   
 30.0867  0.359397   
 30.1534  0.351868   
 30.2201  0.411103   
 30.2869  0.473081   
 30.3536  0.474507   
 30.4203  0.412767   
 30.487  0.34847   
 30.5537  0.348179   
 30.6204  0.421345   
 30.6871  0.510937   
 30.7538  0.546627   
 30.8205  0.510398   
 30.8873  0.452748   
 30.954  0.444242   
 31.0207  0.508145   
 31.0874  0.597712   
 31.1541  0.639592   
 31.2208  0.602445   
 31.2875  0.52609   
 31.3542  0.483723   
 31.4209  0.512834   
 31.4877  0.579988   
 31.5544  0.612678   
 31.6211  0.568183   
 31.6878  0.474476   
 31.7545  0.404573   
 31.8212  0.408471   
 31.8879  0.466819   
 31.9546  0.509987   
 32.0213  0.484486   
 32.0881  0.404079   
 32.1548  0.337339   
 32.2215  0.34336   
 32.2882  0.416234   
 32.3549  0.490645   
 32.4216  0.503302   
 32.4883  0.452282   
 32.555  0.398345   
 32.6217  0.40699   
 32.6885  0.485946   
 32.7552  0.577078   
 32.8219  0.610387   
 32.8886  0.569215   
 32.9553  0.505208   
 33.022  0.488965   
 33.0887  0.542937   
 33.1554  0.619903   
 33.2221  0.647319   
 33.2889  0.595741   
 33.3556  0.506785   
 33.4223  0.454247   
 33.489  0.475035   
 33.5557  0.535016   
 33.6224  0.561958   
 33.6891  0.514463   
